Month,Spam,Ransomware,Local Infection,Exploit,Malicious Mail,Network Attack,On Demand Scan,Web Threat
2022-10,0.005952759508149843,0.00013240446398376734,0.013840265160815124,0.000519529055356651,0.0016940916149068323,0.0027212152687613607,0.009997671333824612,0.014269062116376137
2022-11,0.006208935131364799,0.00012633466135458167,0.012152275243367055,0.00048317733990147784,0.0012146510178645618,0.0024664974726200505,0.008940131779984721,0.013157344913151365
2022-12,0.005975524306950582,0.00012180845892075839,0.012582983690987124,0.0004499347909474491,0.0012891518188567186,0.0026012420262664167,0.009299718406593407,0.013350878969957083
2023-01,0.006090923330585325,0.00011399096385542169,0.01225981443298969,0.0004370853129518695,0.001061590342977582,0.0023647441944847605,0.008987465200206221,0.012686115120274915
2023-02,0.006043908773461371,0.00012735079325107025,0.012895167525773195,0.00048138566694283345,0.0015357445556209535,0.0024064162633107454,0.009338177466863034,0.013051266801693977
2023-03,0.006054359368143922,0.00013347440446021287,0.013034470241385663,0.00047862654009291056,0.001426225596529284,0.0024495334490071334,0.009526008109104311,0.013417420305878017
2023-04,0.006230646860514117,0.00012106740225473734,0.013033769121309144,0.0004672482814395471,0.0012175125862390452,0.0022361962196219623,0.009310220309810671,0.013541540577716643
2023-05,0.006171000926784059,0.00012409601634320736,0.014450917818740399,0.00046259936238044635,0.0012095384615384615,0.0021559007530411274,0.010282910760630865,0.012942140294938221
2023-06,0.006288278145695364,0.00012778620166793025,0.015916907639188606,0.0004724287523749208,0.0013612950380893557,0.0022254749050189962,0.011025,0.012688730015762217
2023-07,0.006222767441860465,0.00012942589014628761,0.013852620372146558,0.000454153030652224,0.0013029970637583894,0.0019932254823151127,0.009670568356374807,0.011932763385146804
2023-08,0.006149359978395896,0.00013188816016568866,0.013153003158844765,0.0004452118877270225,0.001228081452404318,0.0019421823794823084,0.01000465521139498,0.011770318471337578
2023-09,0.006089737244897959,0.00014256983240223465,0.01329858129993522,0.0005031119691119692,0.001267512426035503,0.0019021716485507249,0.010094486041982254,0.012640529043403154
2023-10,0.0060279779577148,0.0001522074756229686,0.01343260710854947,0.0004952827316224445,0.0012198364485981308,0.0019534453109378127,0.010290186395080708,0.012569515850144092
2023-11,0.005922531932426864,0.00013866494178525225,0.013526164726947178,0.0004469983136593592,0.001195544996121024,0.001858808193668529,0.010179851387645478,0.013618019655108475
2023-12,0.005875194384449244,0.00013010869565217392,0.013580452190296749,0.00043397810218978106,0.0011462964849719816,0.0018571921182266012,0.010178261893546868,0.013729105040037682
